,instance,mazesize,time_depth_1,time_depth_2,time_depth_3
278,minimax_s7_num8,7,,0.1,0.2
279,minimax_s7_num80,7,,,0.1
280,minimax_s7_num81,7,,0.1,1.1
281,minimax_s7_num82,7,,0.1,1.8
282,minimax_s7_num83,7,,0.1,0.6
283,minimax_s7_num84,7,,0.1,2.1
284,minimax_s7_num85,7,,0.1,2.5
285,minimax_s7_num86,7,,0.1,5.5
286,minimax_s7_num87,7,,0.1,1.4
287,minimax_s7_num88,7,,0.1,8.7
288,minimax_s7_num89,7,,0.1,1.6
289,minimax_s7_num9,7,,0.1,3.1
290,minimax_s7_num90,7,,0.1,1.5
291,minimax_s7_num91,7,,0.1,0.3
292,minimax_s7_num92,7,,0.1,0.8
293,minimax_s7_num93,7,,0.1,2.4
294,minimax_s7_num94,7,,,0.1
295,minimax_s7_num95,7,,0.1,0.9
296,minimax_s7_num96,7,,0.1,1.9
297,minimax_s7_num97,7,,0.1,0.4
298,minimax_s7_num98,7,,0.1,0.5
299,minimax_s7_num99,7,,0.1,0.5
300,minimax_s9_num0,9,,0.1,
301,minimax_s9_num1,9,,0.1,2.1
302,minimax_s9_num10,9,,0.1,5.0
303,minimax_s9_num11,9,,0.1,1.5
304,minimax_s9_num12,9,,0.1,8.5
305,minimax_s9_num13,9,,0.1,3.2
306,minimax_s9_num14,9,,0.1,2.2
307,minimax_s9_num15,9,,0.1,3.6
308,minimax_s9_num16,9,,0.1,0.5
309,minimax_s9_num17,9,,0.1,7.1
310,minimax_s9_num18,9,,0.1,
311,minimax_s9_num19,9,,0.1,7.4
312,minimax_s9_num2,9,,0.1,
313,minimax_s9_num20,9,,0.1,1.5
314,minimax_s9_num21,9,,0.1,5.4
315,minimax_s9_num22,9,,0.1,2.4
316,minimax_s9_num23,9,,0.1,0.8
317,minimax_s9_num24,9,,0.1,
318,minimax_s9_num25,9,,0.1,0.9
319,minimax_s9_num26,9,,0.1,3.2
320,minimax_s9_num27,9,,0.1,1.2
321,minimax_s9_num28,9,,0.1,
322,minimax_s9_num29,9,,0.1,8.6
323,minimax_s9_num3,9,,0.1,3.3
324,minimax_s9_num30,9,,0.1,1.2
325,minimax_s9_num31,9,,0.1,3.9
326,minimax_s9_num32,9,,0.1,1.5
327,minimax_s9_num33,9,,0.1,3.2
328,minimax_s9_num34,9,,0.1,0.7
329,minimax_s9_num35,9,,0.1,2.1
330,minimax_s9_num36,9,,0.1,2.4
331,minimax_s9_num37,9,,0.1,
332,minimax_s9_num38,9,,0.1,2.5
333,minimax_s9_num39,9,,0.1,
334,minimax_s9_num4,9,,0.1,3.2
335,minimax_s9_num40,9,,0.1,1.0
336,minimax_s9_num41,9,,0.1,1.0
337,minimax_s9_num42,9,,0.1,1.0
338,minimax_s9_num43,9,,0.1,1.4
339,minimax_s9_num44,9,,0.1,1.5
340,minimax_s9_num45,9,,0.1,2.9
341,minimax_s9_num46,9,,0.1,2.5
342,minimax_s9_num47,9,,0.1,2.9
343,minimax_s9_num48,9,,0.1,
344,minimax_s9_num49,9,,0.1,8.2
345,minimax_s9_num5,9,,0.1,
346,minimax_s9_num50,9,,0.1,2.6
347,minimax_s9_num51,9,,0.1,
348,minimax_s9_num52,9,,0.1,3.7
349,minimax_s9_num53,9,,0.1,
350,minimax_s9_num54,9,,0.1,1.4
351,minimax_s9_num55,9,,0.1,7.3
352,minimax_s9_num56,9,,0.1,1.9
353,minimax_s9_num57,9,,0.1,2.4
354,minimax_s9_num58,9,,0.1,1.7
355,minimax_s9_num59,9,,0.1,1.0
356,minimax_s9_num6,9,,0.1,3.8
357,minimax_s9_num60,9,,0.1,7.9
358,minimax_s9_num61,9,,0.1,5.7
359,minimax_s9_num62,9,,0.1,7.4
360,minimax_s9_num63,9,,0.1,
361,minimax_s9_num64,9,,0.1,0.2
362,minimax_s9_num65,9,,0.1,1.7
363,minimax_s9_num66,9,,0.1,3.2
364,minimax_s9_num67,9,,0.1,5.5
365,minimax_s9_num68,9,,0.1,0.7
366,minimax_s9_num69,9,,0.1,1.1
367,minimax_s9_num7,9,,0.1,1.7
368,minimax_s9_num70,9,,0.1,
369,minimax_s9_num71,9,,0.1,4.6
370,minimax_s9_num72,9,,0.1,9.6
371,minimax_s9_num73,9,,0.1,
372,minimax_s9_num74,9,,0.1,6.0
373,minimax_s9_num75,9,,0.1,9.2
374,minimax_s9_num76,9,,0.1,0.6
375,minimax_s9_num77,9,,0.1,1.3
376,minimax_s9_num78,9,,0.1,1.3
377,minimax_s9_num79,9,,0.1,0.6
378,minimax_s9_num8,9,,0.1,4.3
379,minimax_s9_num80,9,,0.1,4.4
380,minimax_s9_num81,9,,0.1,0.8
381,minimax_s9_num82,9,,0.1,2.3
382,minimax_s9_num83,9,,0.1,
383,minimax_s9_num84,9,,0.1,4.2
384,minimax_s9_num85,9,,0.1,0.5
385,minimax_s9_num86,9,,0.1,
386,minimax_s9_num87,9,,0.1,0.4
387,minimax_s9_num88,9,,0.1,
388,minimax_s9_num89,9,,0.1,0.8
389,minimax_s9_num9,9,,0.1,0.9
390,minimax_s9_num90,9,,0.1,5.9
391,minimax_s9_num91,9,,0.1,1.6
392,minimax_s9_num92,9,,0.1,
393,minimax_s9_num93,9,,0.1,3.1
394,minimax_s9_num94,9,,0.1,0.8
395,minimax_s9_num95,9,,0.1,1.4
396,minimax_s9_num96,9,,0.1,
397,minimax_s9_num97,9,,0.1,1.2
398,minimax_s9_num98,9,,0.1,4.1
399,minimax_s9_num99,9,,0.1,
