instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s11_d2_num3,0.0037199000000214255,0.003734900000011976,0.0036652999999944313,0.003677500000009104,0.00377540000002341,0.003678300000018453,0.003700199999997267,0.0036759999999844695,0.003647699999987708,0.0038634999999942465
exhsearch_s11_d2_num4,0.0014506999999923664,0.0013858999999740718,0.001419300000009116,0.0014320999999881678,0.0013840000000016062,0.0013833000000147422,0.001396300000010342,0.001507799999984627,0.001440500000001066,0.001409400000000005
exhsearch_s11_d2_num5,0.0005845000000022083,0.0005217000000072858,0.0005084000000010747,0.0005366999999978361,0.0005126000000075237,0.0005081999999845266,0.0005225999999822761,0.0005087000000116859,0.0005065000000001874,0.0005104999999900883
exhsearch_s11_d2_num6,0.0007326999999861528,0.0006581000000096537,0.0006559999999922184,0.0006865999999945416,0.0006653000000085285,0.0006545000000244272,0.0007540999999946507,0.00070180000000164,0.0006626999999923555,0.0006799000000228261
exhsearch_s11_d2_num7,0.003117900000006557,0.0029514000000006035,0.00297729999999774,0.003117099999997208,0.0030394999999998618,0.0030010000000118,0.003128500000002532,0.003000999999983378,0.0029817999999863787,0.003018400000001975
exhsearch_s11_d2_num8,0.0006842999999889798,0.0005720999999994092,0.0005571000000088588,0.0005553000000020347,0.0005563999999935731,0.000551600000022745,0.0005722999999875356,0.0005513000000121338,0.0005479999999806751,0.0006201000000203294
exhsearch_s11_d2_num9,0.0016831999999737945,0.0016299000000117303,0.0019558999999844673,0.0016488999999921816,0.0016173999999864463,0.0016097999999828971,0.0015970999999979085,0.001612999999991871,0.0016578999999978805,0.0016299000000117303
exhsearch_s11_d3_num1,0.003776100000010274,0.003658500000000231,0.003527899999994588,0.003596799999996847,0.003611399999982723,0.0037164000000018405,0.0035512999999980366,0.0035642999999936364,0.003637999999995145,0.0035553999999820007
exhsearch_s11_d3_num10,0.04927399999999693,0.04879420000000323,0.048954000000009046,0.048594899999983454,0.04861389999999233,0.05094569999999976,0.04628640000001383,0.050389200000012124,0.04639750000001186,0.048991800000010244
exhsearch_s11_d3_num2,0.2980690999999922,0.27770239999998125,0.2777041999999881,0.2776183000000003,0.27789200000000847,0.277625200000017,0.27747360000000754,0.2778186999999832,0.27752089999998475,0.27758649999998397
exhsearch_s11_d3_num3,0.010737899999980982,0.010542799999996078,0.010720600000013292,0.010543299999994815,0.010502800000011803,0.010640200000011646,0.010565600000006725,0.01064149999999131,0.010645199999999022,0.01046740000001023
exhsearch_s11_d3_num4,0.008717100000012579,0.008858099999997648,0.008516200000002527,0.008624800000006871,0.008635699999985036,0.008761700000007977,0.00862760000001117,0.008906800000005433,0.008469600000012178,0.00864200000000892
exhsearch_s11_d3_num5,0.015960000000006858,0.015380100000015773,0.01580109999997603,0.015770099999997456,0.015942899999998872,0.015567000000004327,0.015777499999984457,0.01560100000000375,0.0156532000000027,0.015557599999993954
exhsearch_s11_d3_num6,0.00674680000000194,0.00654480000000035,0.006417999999996482,0.006608499999998685,0.006586599999991449,0.006541800000007925,0.006524000000013075,0.00673180000001139,0.006619499999999334,0.006809299999986251
exhsearch_s11_d3_num7,0.009824900000012349,0.009654199999999946,0.009889800000024707,0.00965600000000677,0.009810200000003988,0.009616499999992811,0.00973510000000033,0.009698000000014417,0.009851400000002286,0.00967210000001728
exhsearch_s11_d3_num8,0.04206729999998515,0.044337999999982,0.04453319999998939,0.044074199999982966,0.04623080000001778,0.04163859999999886,0.04417739999999526,0.04622460000001638,0.04216700000000628,0.04411440000001221
exhsearch_s11_d3_num9,0.055414600000005976,0.05522350000001097,0.05411709999998493,0.05562570000000733,0.055428199999994376,0.055379000000016276,0.05513329999999428,0.05561819999999784,0.05526270000001432,0.05587629999999422
exhsearch_s11_d4_num1,1.263855800000016,1.3310393999999803,1.2565143000000205,1.2495053000000098,1.2492220999999972,1.249420200000003,1.2488145000000088,1.2486016000000006,1.2496548000000018,1.2483297999999934
exhsearch_s11_d4_num10,2.179610800000006,2.1308033999999907,2.151477099999994,2.133503000000019,2.1526888000000213,2.1290807999999686,2.1283581999999797,2.1296519999999646,2.1235401999999794,2.127302199999974
exhsearch_s11_d4_num2,2.927551000000051,2.855748800000015,2.852723400000002,2.8513648999999646,2.8534314999999992,2.860601299999985,2.8534523999999806,2.8612946999999735,2.853400700000009,2.860233600000015
exhsearch_s11_d4_num3,0.4584035999999969,0.4623306000000298,0.4588537000000201,0.45785119999999324,0.46164019999997663,0.46217539999997825,0.46320639999999,0.4595062000000212,0.4589290000000119,0.458701700000006
exhsearch_s11_d4_num4,1.6535590999999954,1.658556400000009,1.6559416000000056,1.673749100000009,1.6607711999999992,1.6542008000000124,1.65204829999999,1.6572434999999928,1.6557912999999758,1.644620400000008
exhsearch_s11_d4_num5,3.7603987999999617,4.140702499999975,3.882167299999992,3.8810154999999895,3.8541476999999986,3.8992317999999955,3.8867973999999776,3.8935334999999895,3.8820898999999827,3.8849191000000474
