instance,time0[s],time1[s],time2[s],time3[s],time4[s],time5[s],time6[s],time7[s],time8[s],time9[s]
exhsearch_s11_d3_num1,0.003137200001219753,0.0031355000028270297,0.003089400001044851,0.003194700002495665,0.003220899998268578,0.003115100000286475,0.0030848000023979694,0.0031193999966490082,0.0031146999972406775,0.0031054999999469146
exhsearch_s11_d3_num10,0.08992310000030557,0.04185680000227876,0.042167000006884336,0.04230020000250079,0.04240419999405276,0.04373169999598758,0.039742800006933976,0.04168500000378117,0.04193149999628076,0.042651700001442805
exhsearch_s11_d3_num2,0.5095392000002903,0.2420979000016814,0.246920699995826,0.24057470000116155,0.24053120000462513,0.24013700000068638,0.24018660000001546,0.2422000999940792,0.23970679999911226,0.24050170000555227
exhsearch_s11_d3_num3,0.007953699998324737,0.008035300001210999,0.007613899993884843,0.007742900001176167,0.007657800000743009,0.00774690000253031,0.007669699996768031,0.007680000002437737,0.007667999998375308,0.007560899997770321
exhsearch_s11_d3_num4,0.00705279999965569,0.006975199998123571,0.006757799994375091,0.00699019999592565,0.006731699999363627,0.007034299997030757,0.007492000004276633,0.006816699999035336,0.00685170000360813,0.007181799999671057
exhsearch_s11_d3_num5,0.013058899996394757,0.012685199995758012,0.01307509999605827,0.013248600000224542,0.012585000004037283,0.013547700000344776,0.013056799994956236,0.012713199997961055,0.01328559999819845,0.01264429999719141
exhsearch_s11_d3_num6,0.0061491000014939345,0.005876700000953861,0.005710900004487485,0.0056715999962762,0.005619700001261663,0.005798499994853046,0.005624600002192892,0.0055191999999806285,0.005581400000664871,0.005510199996933807
exhsearch_s11_d3_num7,0.008881100002327003,0.008512300002621487,0.009130999998888,0.008738500000617933,0.008679099999426398,0.008584099996369332,0.00862290000077337,0.008548300000256859,0.008580400004575495,0.008568199998990167
exhsearch_s11_d3_num8,0.03529590000107419,0.03739060000225436,0.03756870000506751,0.037055799999507144,0.03746730000420939,0.038319299994327594,0.03756730000168318,0.03734789999725763,0.03733519999514101,0.037483699998119846
exhsearch_s11_d3_num9,0.039240599995537195,0.039165399997727945,0.039353799998934846,0.03820560000167461,0.03984119999950053,0.03937700000096811,0.03959439999744063,0.0395314999987022,0.0404906999974628,0.03991600000153994
exhsearch_s11_d4_num1,2.1542421000049217,1.1162335999979405,1.0255346999983885,1.0373694000008982,1.0271730000022217,1.018608200000017,1.064863499996136,1.031182099999569,1.021514500003832,1.0371095000009518
exhsearch_s11_d4_num10,2.3653985999990255,1.6766920000009122,1.6774850000001607,1.852021099999547,2.1677515000046697,1.7390081999983522,1.6921054999984335,1.6855982000051881,1.6901316000003135,1.6747233999994933
exhsearch_s11_d4_num2,2.7619469000055688,2.5473615000009886,2.5517946999971173,2.5443478000015602,2.5450316999995266,2.55369050000445,2.556302900004084,2.5479746000055457,2.546428499998001,2.585301300001447
